,Title,ReviewDate,Stay Date,comments,Restaurant_Name,Review_Sentiment
1109,b'Most Household needs under one roof',"b'Reviewed January 15, 2019 '",b'Date of visit: January 2019',"[b'One of the very well stocked Super Markets in Colombo. All types of daily needs available & wide selection from all products. Groceries, Vegetables, Fruits, Meat items & Fish. Electrical & electronics, Furniture, Plastics & decorative items , Gift Items']",Arpico Supercentre,POSITIVE
1110,b'Tossed',"b'Reviewed July 12, 2020 '",b'Date of visit: July 2020',[b'The Pizza when  delivered was all tossed up not looking like a Pizza at all. Pizza saver was not there.'],Fire and Ice Pizzeria,NEGATIVE
1111,b'Yummy pizza!',"b'Reviewed March 30, 2020 '",b'Date of visit: January 2020',"[b'Just what we needed after our trip around the island. Even though we loved the local food, this is exactly what we were looking for before heading home. The pizza\xe2\x80\x99s were especially delicious, with thin crusts and great toppings.']",Fire and Ice Pizzeria,POSITIVE
1112,b'Great pizza place',"b'Reviewed February 13, 2020 '",b'Date of visit: February 2020',[b'Great pizza place with super nice food and super friendly staff. \nYou can order pizzas half-half with two different toppings. Try the quattro formaggi - it\xe2\x80\x98s delicious!'],Fire and Ice Pizzeria,POSITIVE
1113,b'Great atmosphere & food!',"b'Reviewed January 28, 2020 '",b'Date of visit: January 2020',"[b""For someone who sheepishly admits pizza is not my first go to, the food at Fire & Ice was pretty amazing and I'd definitely visit again!\n\nCheesy delicious pizzas, great starters. Our vegetarian friend was well catered for. Relaxed atmosphere where the waiters was quick,...friendly and helpful with our BYO drinks. \n\nDefinitely worth the visit.More""]",Fire and Ice Pizzeria,POSITIVE
1114,b'Little Italy in Colombo',"b'Reviewed January 18, 2020 '",b'Date of visit: January 2020',[b'Pizzas were perfect. Interior is nice. Service very fast.\nThank you for dinner!\nPizzas buhumur rasay. Estuti!'],Fire and Ice Pizzeria,POSITIVE
1115,b'Charming Pizza Restaurant',"b'Reviewed December 19, 2019 '",b'Date of visit: December 2019',"[b""Went with my wife around 9.30pm last week and only both of us were at the restaurant. We ordered a Salami Burlone Pizza and it was quite good. The pizza was cheesy and hot hot. Felt like the waiter who served was a bit nervous...and don't know why. However, the Manager or someone was really good and attentive. These kind of restaurants can be visited several times and overall a good atmosphere to dine for Pizza lovers!More""]",Fire and Ice Pizzeria,POSITIVE
1116,b'Very good pizza and nice staff',"b'Reviewed December 18, 2019 '",b'Date of visit: December 2019',[b'We are pizza lovers and this place offers a really good one! The 4 cheese and the one with mushrooms were amazing.\n\nThe staff is very nice and attentive.\n\nWe will definitely come again'],Fire and Ice Pizzeria,POSITIVE
1117,b'Pleasant discovery ',"b'Reviewed November 22, 2019 '",b'Date of visit: November 2019',"[b'I came here 2 times, one for pasta and one for pizza. I preferred pizza, really good and tasty. Pasta was OK, al dente but they should improve the dressing, in particular I had pasta al pesto and it was a little bit sugared. But...I really recommend this place.\nOne of the best I have tried in Colombo.More']",Fire and Ice Pizzeria,POSITIVE
1118,b'Excellent Pizzas',"b'Reviewed October 26, 2019 '",b'Date of visit: October 2019',[b'Very central location. Not crowded too. Very good thin crust pizzas. Fillings excellent. Good setting. Very friendly staff. Good value for money. Large portions'],Fire and Ice Pizzeria,POSITIVE
1119,b'Best pizza in town',"b'Reviewed October 20, 2019 '",b'Date of visit: October 2019',"[b""By far my favorite place to eat in Colombo. Great thin crust pizza's with fresh toppings. definitely try the four cheese's! My friend ordered the sea food risotto which was to die for!! Cant wait return soon.""]",Fire and Ice Pizzeria,POSITIVE
1120,b'Vadai',"b'Reviewed March 14, 2019 '",b'Date of visit: March 2019',[b'We had vadai here.The vadai was fresh and tasty \nThe ambiance poor.This is a Tamil street food restaurant .Value for money.'],Gandhi Lodge,NEGATIVE
1121,b'Street food - South Indian',"b'Reviewed January 15, 2019 '",b'Date of visit: January 2019',[b'I regularly visit this restaurant. It might not appear to be best of hygienic restaurant but is certainly must visit for people who look for Street food. The owner is from South India. Staff is courteous though little shy of people not speaking tamil. Idli...is the best you can get.More'],Gandhi Lodge,POSITIVE
1122,b'South-Indian restaurant',"b'Reviewed November 7, 2018 '",b'Date of visit: October 2018',"[b""Pure-Veg restaurant with mostly South-Indian style dishes. Food though bland, is quite tasty & reasonably priced. Staff are simple, don't talk much & converse mainly in local languages. They try their best to keep the place clean, but difficult due to the nature of the...crowd.More""]",Gandhi Lodge,POSITIVE
1123,b'Be careful for credit card Offers',"b'Reviewed February 20, 2020 '",b'Date of visit: February 2020',[b'Be careful for credit card offers\n\nAt the day I visited the place has 30% credit card offer mentioned in their website. After end of the bill I gave my card and ask for the discount. They said that I\xe2\x80\x99ve been exceeded the upper limit...to get the discount. There were not any kind of limitation mentioned in the web site of the bank web site and also in the restaurant it self. I find it very unfair to setting a upper limit without letting know the customers.\n\nThere were only 12 people in the pub including 7 of us. But they took so much time to bring the dishes to the table. \n\nThere were only five people excluding us. But demand of the prices of foods and beverages are rocketing after every 10min. Make sure to place your complete order at once at your earliest.More'],The Exchange Restaurant + Pub,NEGATIVE
1124,b'Wow mind relax ',"b'Reviewed December 9, 2019 '",b'Date of visit: October 2019',[b'Amex accepting well cooked naziguran and beer and soft drinks wow I love it this is my second visit nice staff location and art relax your thoughts come and enjoy'],The Exchange Restaurant + Pub,POSITIVE
1125,b'Very tasty seafood pasta and',"b'Reviewed October 30, 2019 '",b'Date of visit: October 2019',"[b'Very tasty seafood pasta and nice view from the roof. They takes cards, waiters are also nice. Good place for a dinner']",The Exchange Restaurant + Pub,POSITIVE
1126,b'Great food',"b'Reviewed October 16, 2019 '",b'Date of visit: October 2019',"[b'A small, cozy pub with indoor and outdoor seating. The drinks and food are decently priced. The food is really tasty. Staff are friendly and helpful.']",The Exchange Restaurant + Pub,POSITIVE
1127,b'Review on first time visit',"b'Reviewed October 12, 2019 '",b'Date of visit: October 2019',[b'Very hood ambience. Sucha place to hangout with friends to dine in. Looks too good in the evening with a view. I loved it.'],The Exchange Restaurant + Pub,POSITIVE
1128,b'Excellent service',"b'Reviewed October 12, 2019 '",b'Date of visit: October 2019',"[b'Went to the exchange pub today evening,had a good time. Excellent food and great costomer service .Highly recommend for evening meetups..']",The Exchange Restaurant + Pub,POSITIVE
1129,b'Food review',"b'Reviewed October 12, 2019 '",b'Date of visit: October 2019',[b'People who visit dutch hospital visit this place for a good place and food. they serve really best food in the way you want. they don\xe2\x80\x99t take much time everythin is very quick and even their staff. please do try this place for a good...experience.More'],The Exchange Restaurant + Pub,POSITIVE
1130,"b'Good Ambience,Good for Friends Hangout'","b'Reviewed July 22, 2019 '",b'Date of visit: July 2019',"[b'Went out with friends,enjoyed lovely food.good ambience good food and a good vibe.Service is good and the staff are friendly and helpful.and the price is resonable.would recommend for outings with friends.']",The Exchange Restaurant + Pub,POSITIVE
1131,b'With Friends',"b'Reviewed July 22, 2019 '",b'Date of visit: July 2019',[b'Nice atmosphere to hangout and spacious place and the burger was solid \xf0\x9f\x91\x8c\xf0\x9f\x8f\xbd. The view was priceless\xe2\x9c\x8c\xf0\x9f\x8f\xbd'],The Exchange Restaurant + Pub,POSITIVE
1132,b'Girls night out',"b'Reviewed July 22, 2019 '",b'Date of visit: July 2019',[b'Good ambiance. Enjoyed my time with friends. Good place to hangout. Food was delicious. The staff was extremely friendly.'],The Exchange Restaurant + Pub,POSITIVE
1133,b'Sumatran Spice / Colombo City Centre food court counter',"b'Reviewed January 7, 2019 '",b'Date of visit: January 2019',"[b'Hi\n\nColombo City Centre has the best food court!\n\nToday we munched a delicious nadu goreng (for me, their veggie version)\n\nOne thing, ask for the extra spicing as their base nasi goreng is quite mild\n\nGreat service and brilliant pricing!\n\nWell done and thanks']",Far East,POSITIVE
1134,b'City Centre outlet ',"b'Reviewed December 29, 2018 '",b'Date of visit: December 2018',[b'We visited the City centre outlet. The food was tasty.The  Rice and beef was good.The service was O K.'],Far East,POSITIVE
1135,b'Fresh Food ',"b'Reviewed February 22, 2018 '",b'Date of visit: February 2018',"[b""An authentic Indonesian restaurant which is also featured at the Good Market Colombo. I always appreciate small businesses that actually make an effort to deliver organic food which does not harm the human body. This is one such place. The food is expensive - therefore...not a luxury one can afford on a daily basis given the fact that the restaurant is centrally located and easily accessible. \n\nThe restaurant owner is always there and will personally enquire if you're enjoying the food. Most times she prepares the food and everything is freshly preparedMore""]",Far East,POSITIVE
1136,b'Sensational Flavours',"b'Reviewed November 23, 2017 '",b'Date of visit: November 2017',"[b'Visited this Indonesian Eatery on 372 Vauxhall Street as we were recommended to it by locals. We were not disappointed. Wow, the flavours and taste! It is quite a small eatery with seating only for about 12 diners. The offerings were very simple with rice...(x3), noodle (x2) and curry (x2) offerings. The food was authentic Indonesian and at very reasonable prices. We had the soup bontot (oxtail) and vegetarian fried rice and noodles. A place that offers both vegetarian and meat options at simply affordable prices. The flavours were mouth-watering and can be spicy if one was not used to spicy food. The Lady chef/owner Nani was a very pleasant and inviting host and made our dining experience so enjoyable. Combined with the quality food offerings, makes Far East Indonesian restaurant simply a favourite choice to go to. They also offer great take-away menu selection. 5 stars !!More']",Far East,POSITIVE
1137,b'nice ambiance',"b'Reviewed September 24, 2016 '",b'Date of visit: May 2016',"[b'So the staff there should be alittle more helpful with the aid of choices. Brilliant cuisine, nice portions & calm full ambiance']",Far East,POSITIVE
1138,b'Mediocre experience ',"b'Reviewed September 30, 2020 '",b'Date of visit: September 2020',[b'Visited on a Sunday night for dinner with extended family numbering 14 persons and had a very different experience in comparison to the tea Avenue Barnes place where I am regular.\nWhen we wanted 14 soups the waiter returns saying that only 10 cups are...available due to shortage of crockery\xf0\x9f\x98\xab. When we ordered 6 burgers again he returns saying only 3 buns are in stock\xf0\x9f\xa4\xab.\nI do feel and hope the management does look into this.\nHowever the food quality and taste was exceptional.\nI have given the lowest rating so that it\xe2\x80\x99s an eye opener.\nWill I return again- yes definitely as I like the ambience and the food and hope issues are solved.More'],Tea Avenue,NEGATIVE
1139,b'Tea Avenue high tea experience ',"b'Reviewed March 18, 2020 '",b'Date of visit: March 2020',[b'A place with good environment to enjoy good food (savorys & sweets) with relaxing music. Unlimited tea was a new thing.\xf0\x9f\x91\x8c\xf0\x9f\x8f\xbb'],Tea Avenue,POSITIVE
1140,b'Great place to make memories',"b'Reviewed February 19, 2020 '",b'Date of visit: December 2019',"[b'Ideal setting for get togethers, small reunions or plain old gossip sessions. Great food, friendly staff and good vibes.More', b'Hello, thank you for taking the time to rate and review us. It means a lot! \nWe are pleased that you enjoyed your dining with us, we are always trying to create the best service for our customers. If you have any inquiries, please feel...More']",Tea Avenue,POSITIVE
1141,b'A memorable place',"b'Reviewed February 19, 2020 '",b'Date of visit: December 2019',"[b'A great place to chill and relax with your friends, family and colleagues. Friendly staff and excellent service.More', b'Hello, thank you for taking the time to rate and review us. It means a lot! \nWe are pleased that you enjoyed your dining with us, we are always trying to create the best service for our customers. If you have any inquiries, please feel...More']",Tea Avenue,POSITIVE
1142,"b'Excelent service, Lovely ambience.'","b'Reviewed February 18, 2020 '",b'Date of visit: February 2020',"[b'Excelent service, Lovely ambience. \nLike their Fish & Chips \xe2\x9d\xa4\xef\xb8\x8f\nWe had ferrero Lavish which was more than filling for two people.\n\nWould definitely come again.More', b'Hello, thank you for taking the time to rate and review us. It means a lot! \nWe are pleased that you enjoyed your dining with us, we are always trying to create the best service for our customers. If you have any inquiries, please feel...More']",Tea Avenue,POSITIVE
1143,b'Nice place with a sea view',"b'Reviewed February 7, 2020 '",b'Date of visit: February 2020',"[b""Near the main road,but with a sea view,nice air conditioned clean place with wide selection of tea and coffee (we didn't eat). Cheese tea,iced tea and iced coffee were refreshing,but be aware of a very lot of sugar everywhere. Prices are rather higher.More"", b'Hello, thank you for taking the time to rate and review us. It means a lot! \nWe are pleased that you enjoyed your dining with us, we are always trying to create the best service for our customers. If you have any inquiries, please feel...More']",Tea Avenue,POSITIVE
1144,b'Delicious food and great ambiance',"b'Reviewed February 3, 2020 '",b'Date of visit: February 2020',"[b'Great place to have a quiet conversation.\nWe had a vegetable burger and vegetarian lasagna - both were delicious.\nMy cousin loved the Katmandu coffee\nAnd I loved the Toffee caramel cheese cake - it literally melted in my mouth.\nThe prices are at the...upper limit \nEveryone was very friendly and the place was very clean well worth a visit.More', b'Hello, thank you for taking the time to rate and review us. It means a lot! We are pleased that you enjoyed your dining with us, we are always trying to create the best service for our customers. If you have any inquiries, please feel...More']",Tea Avenue,POSITIVE
1145,b'Amazing experience',"b'Reviewed February 3, 2020 '",b'Date of visit: February 2020',"[b'Excellent \xf0\x9f\x91\x8d the cooking was amazing  thanks to the chef we had an amazing and filling lunch. Over all ambiance was amazingMore', b'Hello, thank you for taking the time to rate and review us. It means a lot! We are pleased that you enjoyed your dining with us, we are always trying to create the best service for our customers. If you have any inquiries, please feel...More']",Tea Avenue,POSITIVE
1146,b'Amazing  food and drinks',"b'Reviewed February 3, 2020 '",b'Date of visit: January 2020',"[b'i had an amazing experience at tea ave. The food was amazing  and the drinks were delicious and refreshing . I tried several items from the menu and it was very satisfying  . The staff was amazing friendly and really helpful in making  choices ....Id recommend it to anyone and i plan on visiting again soonMore', b'Hello, thank you for taking the time to rate and review us. It means a lot! We are pleased that you enjoyed your dining with us, we are always trying to create the best service for our customers. If you have any inquiries, please feel...More']",Tea Avenue,POSITIVE
1147,"b'Excellent foods and service,'","b'Reviewed February 3, 2020 '",b'Date of visit: January 2020',"[b'Excellent place to spend the time with the family, good service and great foods & drinks. Special thanks to the staff for their excellent serviceMore', b'Hello, thank you for taking the time to rate and review us. It means a lot! We are pleased that you enjoyed your dining with us, we are always trying to create the best service for our customers. If you have any inquiries, please feel...More']",Tea Avenue,POSITIVE
1148,b'Excellent Sri Lankan Restaurant',"b'Reviewed March 7, 2020 '",b'Date of visit: March 2020',"[b'4 of us had a superb meal at this excellent Sri Lankan Restaurant.\nThe food,service and ambiance was absolutely First Class.\nVERY HIGHLY RECOMMENDED.']",The Cafe on the 5th,POSITIVE
1149,b'Need some attention - Caf\xc3\xa9 on the 5th',"b'Reviewed February 15, 2020 '",b'Date of visit: January 2020',"[b'It was quite a nice place to have a meal specially a dinner as the open dining area allowed the gentle breeze of evening cooler air to flow through making the environment very comfortable. This caf\xc3\xa9 was offering a lot of Sri Lankan specialities while...some western dishes were listed in the menu. While most of my colleagues selected Sri Lankan Hopper meal, I ordered the medium done Beef steak with veggies which came to be a bit disappointing. The portion size was okay, but sliced thin, more to be a like a schnitzel than steak and somewhat overdone making it far from being tender. The lime juice I had with a dash of grenadine syrup was really good.More']",The Cafe on the 5th,NEGATIVE
1150,b'Had a good meal',"b'Reviewed February 11, 2020 '",b'Date of visit: February 2020',"[b""The food here actually is very tasty... \nThe lime and mint was very nice.. friendly staff.. It's better make a reservation before you go otherwise you can't get a table.... Decent crowd is there....""]",The Cafe on the 5th,POSITIVE
1151,b'Delicious Authentic Sri Lankan Curry',"b'Reviewed February 10, 2020 '",b'Date of visit: February 2020',"[b'This restaurant was recommended to us by the folks at our hotel and we were happy we made it over. Filled with locals, our reception was at first a little chilly, but it warmed as the evening progressed. No alcohol served here, but the fresh...juice selection is great and I had a lovely mixed fruit drink. The local style vegetable curry was delicious and came with the traditional assortment of sambols, popodum, and dal. Very fresh and delicious. The prices comparable to other restaurants we dined at in Colombo. Not cheap by their standards, but very affordable by our American ones. I would recommend a meal here if you are in the area.More']",The Cafe on the 5th,POSITIVE
1152,b'Cafe in the 5th has a variety',"b'Reviewed December 15, 2019 '",b'Date of visit: November 2019',[b'Cafe in the 5th has a variety of food from Sri Lankan to Western. Best thing about this place is that you don\xe2\x80\x99t have to wait till food is prepared. It\xe2\x80\x99s usually kept in a clean show case where as you just have to pick...what you like. Very spacious restaurant and have outside sitting area as well as indoor private seating areas.More'],The Cafe on the 5th,NEGATIVE
1153,b'Delicious Hot Food!',"b'Reviewed December 1, 2019 '",b'Date of visit: July 2019',"[b'They have really good Sri Lankan food, especially Egg & Plain Hoppers, Kotthu or Mongolean Mix Rice. value for money and nice evening atmosphere. friendly staff service too.']",The Cafe on the 5th,POSITIVE
1154,b'Cozy dinners ',"b'Reviewed September 30, 2019 '",b'Date of visit: September 2019',"[b'Good food and love the ambiance . Hopper combo was great with yummy seeni sambol.\nChicken kottu was also great. \n\nAlso, nothing beats their lasagna and chocolate Eclairs']",The Cafe on the 5th,POSITIVE
1155,b'Great food in nice area of Colombo',"b'Reviewed September 28, 2019 '",b'Date of visit: September 2019',"[b""Great little eatery in a nice leafy area of Colombo. We went for breakfast and it was really filling and delicious. Just an FYI to anyone else we went for their hoppers but they don't do them until 4pm""]",The Cafe on the 5th,POSITIVE
1156,b'Dinner ',"b'Reviewed September 22, 2019 '",b'Date of visit: September 2019',"[b'Great place for a casual hopper  dinner with friends ..Saturday night when we went,  it was quite busy.. No ushers, got to find your table as servers are busy. No customer service but good location clean and the hoppers are tasty. \nNothing much to write...home about...\nGot try it\xe2\x80\x99s a different experience..More']",The Cafe on the 5th,POSITIVE
1157,b'Ideal for a Relaxed Dinner',"b'Reviewed September 3, 2019 '",b'Date of visit: September 2019',"[b""Good restaurant to have dinner for couples, families and group of friends. I felt waiters are not active. They did not give us the menu card until we asked after about 5 mins. They looked at us but, no one bothered to come and ask....Also, saw few people from other tables asking to hurry things up!! May be a proper training will lead them to serve better. However, the food is excellent and very tasty. Price is reasonable for the location. Overall had a good relaxed dinner. Try out the Fusion menu!! It's Wonderful!More""]",The Cafe on the 5th,POSITIVE
1158,b'Great',"b'Reviewed March 16, 2020 '",b'Date of visit: March 2020',[b'Great snacks are served at this wonderful restaurant good service if you want to eat light and have drinks you may want to go there'],Pebbles,POSITIVE
1159,b'Visit to Pebbles',"b'Reviewed February 13, 2020 '",b'Date of visit: February 2020',"[b'Great experience, excellent ambience and great hospitality. These are the places worth visiting when you are in this hotel.']",Pebbles,POSITIVE
1160,b'Notice of appreciation',"b'Reviewed April 2, 2019 '",b'Date of visit: April 2019',"[b""I've made a visit to Pebbles day before yesterday with my family & I met this chap Dayan who demonstrated perfect customer service. I even compelled to consume few wine bottles at the premises while enjoying peaceful , cool & clumsy weather. \n\nWell done Dayan...... and thanks to the Taj management as well.\n\nCheers !!!More""]",Pebbles,POSITIVE
1161,b'A quiet place',"b'Reviewed March 24, 2019 '",b'Date of visit: March 2019',"[b'I had a sandwich and cold drink as a late lunch.  Both were well made and tasty.  I also took away a piece of cake which was boxed up properly and delicious.  One issue was finding somewhere to sit, in that although there were several...tables, they tended to be for large groups, without a view or next to the air-conditioning unit.\n\nThe service was excellent, prompt and knowledgeable.More']",Pebbles,POSITIVE
1162,b'Quiet hidden-away cafe and bar',"b'Reviewed January 30, 2019 '",b'Date of visit: January 2019',"[b'A lovely little bar-cum-cafe tucked away in a corner of the sea-front Taj Samudra property, which was not crowded in the early afternoon when we reached - with excellent food and service and, best of all, you can sign the bill to your room!']",Pebbles,POSITIVE
1163,"b'anura, dayan , aravinda , ishara they do a great service and a good hospitality during the happy hour time its one of th'","b'Reviewed December 11, 2018 '",b'Date of visit: December 2018',"[b'anura, dayan , aravinda , ishara they do a great service and a good hospitality during the happy hour time its one of the great place in colombo to hang around']",Pebbles,POSITIVE
1164,b'Staff are always good',"b'Reviewed December 9, 2018 '",b'Date of visit: December 2018',[b'They know what we want every time. They welcome us very well. Give us personalise service even we say about the dietary requirements. Superb Service.'],Pebbles,POSITIVE
1165,b'Mind blowing sandwiches!!!',"b'Reviewed November 16, 2018 '",b'Date of visit: November 2018',"[b'If you happen to stay the Taj Samudra, do make it a point to have an evening tea the Pebbles where you will get sandwiches that are truly awesome.']",Pebbles,POSITIVE
1166,b'Pebbles by Taj - lovely coffee shop ',"b'Reviewed November 6, 2018 '",b'Date of visit: November 2018',[b'Very nice coffee shop at the Taj Samudra with a beach view.\n\nGreat choice of sandwiches and milkshakes.\n\nStaff are very friendly and courteous !'],Pebbles,POSITIVE
1167,b'For cup of tea ',"b'Reviewed September 13, 2018 '",b'Date of visit: September 2018',"[b""It's the best place to go have nice snack or tea they have varieties of cakes the service is excellent nice environment very chilling place to relax very quite also they have a billiard board they waiters give a very good service there name Dayan...and aravinda were very polite n helpful they service was excellent I would highly recommend to chill best Time to go is in the eveningMore""]",Pebbles,POSITIVE
1168,b'For a quick dinner',"b'Reviewed January 27, 2020 '",b'Date of visit: January 2020',"[b'Though it\xe2\x80\x99s not extraordinary, the food is good. Value for money and attentive staff. Few slots for parking in the busy Fife Road.']",Cafe 97,POSITIVE
1169,b'Fabulous taste and good service!',"b'Reviewed December 26, 2019 '",b'Date of visit: December 2019',"[b'Visited with family for lunch. I had the seabasse, rest, the pasta, club sandwich. the seabasse had a good big piece of fish. 50% more grilled veggies would have made it perfect. The club sandwich was ok quantity for a kid. for an adult perhaps...3 pieces needed. \nthe already prepared pasta was served in the container as it was ready made. \ncosy place for a quick meal. Nice ambience.\nparking for 3 slots. you can use the car park few houses away towards hotel janaki on the same side. \ndefinitely will patronize for meals again.More']",Cafe 97,POSITIVE
1170,b'Dinner at Cafe 97',"b'Reviewed November 4, 2019 '",b'Date of visit: November 2019',[b'We dropped in to have dinner at this newly opened restaurant. Fairly a good menu with several options. Ambiance was average with a open area in the backyard.Food was very tasty however quantity can be and must be improved. Must visit again to taste some...other dishes.More'],Cafe 97,POSITIVE
1171,"b""Fine Dining At It's Best!!""","b'Reviewed November 1, 2019 '",b'Date of visit: October 2019',"[b'Been to the cafe quite a few times. Great service, quality food, value for money. Hats off to Chef Kevin. Serves one of the best ""Egg Benedict""  Impressive Presentation. Very friendly and efficient staff.']",Cafe 97,POSITIVE
1172,b'A somewhat European Cafe',"b'Reviewed October 15, 2019 '",b'Date of visit: September 2019',"[b""For Colombo with its poor imitations of western cafes and their taboos on Beef and Pork, Cafe 97 is a welcome addition. Although it looks ugly from outside the inside has a western feel to it. Very clean (except for the toilet)  and very pleasant...friendly staff.\n\nThe prices include taxes so only a 10% gets added on to the  menu prices. The large pies at 300/- are excellent for take away and probably the best in Colombo. But that's only if you like your pies with a white sauce filling. For those used to local pies laden with pepper and curry powder these may not appeal.\n\nThe baguette sandwiches are pre-made but still relatively fresh. The quiche is limp and the sweets including the gelatinous cheese cake are quite bad.\n\nThe best part is their corkage free BYOB policy. There is a representative range of mains to go with your drinks. They range from a burger, Fish and Chips, Roast meat etc carefully prepared in-house. It takes awhile but with BYOB that's OK\n\nThey also have a range of Fresh juices  and mocktails they are around 500/- and you feel its too pricey for a small place like this but there's a lot of fruit in them. \n\nService and the seating is no frills cafe styleMore""]",Cafe 97,POSITIVE
1173,b'Good',"b'Reviewed October 13, 2019 '",b'Date of visit: October 2019',[b'The ecliars were very good. The exprsso good. The ambiance good. There is parking. The service excellent.'],Cafe 97,POSITIVE
1174,b'Authentic Chinese Bbq and Jiozi',"b'Reviewed August 29, 2019 '",b'Date of visit: August 2019',"[b'Love this place, if you want to feel the real taste and the environment of a authentic Chinese bbq, this is the place, delicious and fresh options of bbq sticks, friendly staff, easy to find and safe.\nTry the jiaozi also, so delicious, different options...even for vegetarians...  :) highly recommendMore']",668 Chinese Restaurant,POSITIVE
1175,b'Best authentic BBQ in town',"b'Reviewed August 26, 2019 '",b'Date of visit: August 2019',"[b""They've got all variety of chinese bbq,dumplings and some chinese snacks..I must say this is a paradise for chinese food lovers.""]",668 Chinese Restaurant,POSITIVE
1176,b'Vietnamese  coffee ',"b'Reviewed August 22, 2019 '",b'Date of visit: August 2019',[b'The ambiance very good. The service excellent. The Vietnamese coffee was made to perfection by the lady .'],668 Chinese Restaurant,POSITIVE
1177,b'100% reccomend this place.',"b'Reviewed August 20, 2020 '",b'Date of visit: August 2020',"[b""100% reccomend this place. Went there with a few friends and had the honor of being served by this incredible waitress (I think her name was Rushme). Food was amazing, I was so full from dinner I didn't need breakfast or lunch the next day!...Try there dumplings (best things ever). Again, the experience was 100000000x better because of the service so please go check it out.More""]",Moon River Chinese Sea Food Restaurant,POSITIVE
1178,b'family dinner',"b'Reviewed February 26, 2020 '",b'Date of visit: February 2020',"[b'very friendly staff to start with, and orders taken with  their suggestions and experience . Food served hot and presentable. Food is tasty and served on time.\ncan recommend to any traveler for authentic Chinese dishes.\n\nbeverage is at high side. However   we had a...good time with good foodMore']",Moon River Chinese Sea Food Restaurant,POSITIVE
1179,b'New',"b'Reviewed January 18, 2020 '",b'Date of visit: January 2020',"[b'This is a new Chinese seafood restaurant a branch of their main restaurant in Thimbrigayasa. The food is tasty. The rooms gives you private dining. The ambiance very good. The crab, duck and pork dishes very good.']",Moon River Chinese Sea Food Restaurant,POSITIVE
1180,b'This is a NOT TO BE MISSED',"b'Reviewed September 14, 2020 '",b'Date of visit: September 2020',"[b'This is a NOT TO BE MISSED feast. Sparkling clean, sanitised, comfortable lounge chairs...and sumptuous cuisine. The prawns and sea food noodles; the hot buttered cuttlefish...so fresh and crispy. The Laksa Chicken and Shitake mushrooms were the best I\xe2\x80\x99ve eaten. But perhaps the best of...all was the white coffee range. Definitely justified the awards it has won. So glad to recommend the food and fantastic service available here. They\xe2\x80\x99ve got the balance right \xe2\x80\x94 great food, solicitous service.More']",PappaRich,POSITIVE
1181,b'I like the food & service',"b'Reviewed March 5, 2020 '",b'Date of visit: November 2019',[b'I have visited few times. I like the food and the service. I will be back soon. The staff is friendly and the atmosphere of the restaurant also nice.'],PappaRich,POSITIVE
1182,"b'PappaRich just opened second outlet at Koswatte, Nawala Sri Lanka'","b'Reviewed January 4, 2020 '",b'Date of visit: January 2020',"[b'Went to dinner tonight. Ordered Seafood Char Kway Teow (SCKT) and Four Heavenly Kings with sambal (FHKS) followed by ABC.\nService quick, good, smiles. The image for SCKT both in menu and on promotion on tables raised our expectations. When the dish arrived though we...were crestfallen as it seemed to be missing most of the Seafood listed and shown in image. \nThe list claimed, \xe2\x80\x98Loaded with prawns\xe2\x80\x99 (there was one prawn accompanied by two fried prawn heads) \xe2\x80\x98sliced Fish Cake\xe2\x80\x99 (none in dish), Cockles (none in dish), Squid ( 4-5 small slices of squid, no squid rings as shown in pic), Chives (well Spring onions, yes).\nTasted OK if a bit salty - disappointing.\nFHKS though was very good, well flavoured, (not with salt) and v.v. Fresh.\nABC Special, Aice Cachan with ice cream, was good, enjoyed it in the heat and humidity of a Colombo evening.\nPointed out prawn situ to our waiter and the Maitre D\xe2\x80\x99 came over to hear us, returning with two prawns, v. nice of him. Spoke to waiter as we left saying it didn\xe2\x80\x99t look good for the restaurant when the image doesn\xe2\x80\x99t match the expectations raised. Apart from it bring poor business practice. n.b.  SCKT was one of the more expensive dishes on the menu.\nWill go back though and try other dishes.More']",PappaRich,NEGATIVE
1183,b'Burnt Satay ',"b'Reviewed September 6, 2019 '",b'Date of visit: August 2019',[b'The ambiance very good. The service good. The beef satay was burnt and tough. Avoid rainy days as no parking closeby.'],PappaRich,POSITIVE
1184,b'New concept of food with amazing ambience and service ',"b'Reviewed August 2, 2019 '",b'Date of visit: July 2019',[b'We tried PappaRich couple of days back. And we had an amazing time. The concept of we writing the order was pretty cool and the food was served really quickly. And yummy as ever. Deserves a second visit.'],PappaRich,POSITIVE
